method,run,events,duration_ms,events_per_sec,digest
ksentry_triangular,1,1000000,5.5344,180688256.02,915923055
rolling_hash_affine,1,1000000,4.0670,245880941.01,400094257
blake3_batch,1,1000000,14.8027,67555079.01,9b199f8213b08f49
hmac_sha256_batch,1,1000000,6.9243,144418534.15,5f39a6b97ac7e5de
merkle_chunks_1024,1,1000000,14.7620,67741714.12,966b0e755c8997cf
ksentry_triangular,2,1000000,5.5446,180354653.00,915923055
rolling_hash_affine,2,1000000,4.0703,245685094.11,400094257
blake3_batch,2,1000000,14.8022,67557625.64,9b199f8213b08f49
hmac_sha256_batch,2,1000000,6.9046,144829975.40,5f39a6b97ac7e5de
merkle_chunks_1024,2,1000000,14.8144,67501876.38,966b0e755c8997cf
ksentry_triangular,3,1000000,5.5875,178971685.96,915923055
rolling_hash_affine,3,1000000,4.1055,243574148.60,400094257
blake3_batch,3,1000000,14.9028,67101623.87,9b199f8213b08f49
hmac_sha256_batch,3,1000000,6.9368,144158066.44,5f39a6b97ac7e5de
merkle_chunks_1024,3,1000000,14.8549,67317641.73,966b0e755c8997cf
ksentry_triangular,4,1000000,5.5235,181045283.05,915923055
rolling_hash_affine,4,1000000,4.1029,243731826.75,400094257
blake3_batch,4,1000000,14.8899,67159699.45,9b199f8213b08f49
hmac_sha256_batch,4,1000000,6.9424,144041825.14,5f39a6b97ac7e5de
merkle_chunks_1024,4,1000000,14.8250,67453757.58,966b0e755c8997cf
ksentry_triangular,5,1000000,5.5009,181789326.89,915923055
rolling_hash_affine,5,1000000,4.1100,243310600.82,400094257
blake3_batch,5,1000000,14.8806,67201392.63,9b199f8213b08f49
hmac_sha256_batch,5,1000000,6.9106,144706010.20,5f39a6b97ac7e5de
merkle_chunks_1024,5,1000000,14.8410,67380917.87,966b0e755c8997cf
ksentry_triangular,6,1000000,5.5132,181382566.85,915923055
rolling_hash_affine,6,1000000,4.1041,243656524.22,400094257
blake3_batch,6,1000000,14.9071,67082052.15,9b199f8213b08f49
hmac_sha256_batch,6,1000000,6.9908,143044715.35,5f39a6b97ac7e5de
merkle_chunks_1024,6,1000000,14.9046,67093515.61,966b0e755c8997cf
ksentry_triangular,7,1000000,5.5208,181131758.32,915923055
rolling_hash_affine,7,1000000,4.1827,239082020.67,400094257
blake3_batch,7,1000000,14.8669,67263563.53,9b199f8213b08f49
hmac_sha256_batch,7,1000000,6.9249,144405458.18,5f39a6b97ac7e5de
merkle_chunks_1024,7,1000000,14.8316,67423468.13,966b0e755c8997cf
ksentry_triangular,8,1000000,5.5430,180407461.08,915923055
rolling_hash_affine,8,1000000,4.1492,241010489.50,400094257
blake3_batch,8,1000000,14.9418,66926139.31,9b199f8213b08f49
hmac_sha256_batch,8,1000000,6.9271,144359929.73,5f39a6b97ac7e5de
merkle_chunks_1024,8,1000000,14.8237,67459623.05,966b0e755c8997cf
ksentry_triangular,9,1000000,5.5202,181151741.03,915923055
rolling_hash_affine,9,1000000,4.0900,244500451.35,400094257
blake3_batch,9,1000000,14.8587,67300751.92,9b199f8213b08f49
hmac_sha256_batch,9,1000000,6.9136,144641753.47,5f39a6b97ac7e5de
merkle_chunks_1024,9,1000000,14.8878,67168978.68,966b0e755c8997cf
ksentry_triangular,10,1000000,5.5047,181661985.54,915923055
rolling_hash_affine,10,1000000,4.0845,244830286.09,400094257
blake3_batch,10,1000000,14.9350,66956992.18,9b199f8213b08f49
hmac_sha256_batch,10,1000000,6.9769,143330933.50,5f39a6b97ac7e5de
merkle_chunks_1024,10,1000000,14.8500,67339895.02,966b0e755c8997cf
