mode,run,iterations,duration_ms
no_collector,1,5000,10960.0881
no_collector,2,5000,11014.4059
no_collector,3,5000,10611.8641
no_collector,4,5000,11142.3588
no_collector,5,5000,11126.5866
no_collector,6,5000,10501.2234
no_collector,7,5000,11038.5316
no_collector,8,5000,11038.9130
no_collector,9,5000,10764.9162
no_collector,10,5000,10956.1444
with_ebpf_collector,1,5000,11067.3324
with_ebpf_collector,2,5000,10563.0131
with_ebpf_collector,3,5000,11020.5338
with_ebpf_collector,4,5000,11180.4736
with_ebpf_collector,5,5000,10504.2606
with_ebpf_collector,6,5000,11245.8386
with_ebpf_collector,7,5000,10964.7368
with_ebpf_collector,8,5000,11495.3413
with_ebpf_collector,9,5000,11199.2899
with_ebpf_collector,10,5000,10854.2405
