mode,run,iterations,duration_ms
baseline_no_monitor,1,1000,2954.3370
baseline_no_monitor,2,1000,2763.5295
baseline_no_monitor,3,1000,2802.3872
baseline_no_monitor,4,1000,2789.9287
baseline_no_monitor,5,1000,2803.3157
baseline_no_monitor,6,1000,2899.1468
baseline_no_monitor,7,1000,2932.8658
baseline_no_monitor,8,1000,2032.7931
baseline_no_monitor,9,1000,2936.7547
baseline_no_monitor,10,1000,2961.7452
timefence_collector,1,1000,2791.8950
timefence_collector,2,1000,3921.4021
timefence_collector,3,1000,2871.2522
timefence_collector,4,1000,1886.7538
timefence_collector,5,1000,2799.2207
timefence_collector,6,1000,2755.8502
timefence_collector,7,1000,2732.8650
timefence_collector,8,1000,2809.8301
timefence_collector,9,1000,2834.2154
timefence_collector,10,1000,3856.1375
