method,run,events,duration_ms,events_per_sec,digest
ksentry_triangular,1,1000000,5.8953,169627630.03,915923055
rolling_hash_affine,1,1000000,4.3731,228668593.12,400094257
blake3_batch,1,1000000,15.7169,63625693.61,9b199f8213b08f49
hmac_sha256_batch,1,1000000,7.2824,137318103.29,5f39a6b97ac7e5de
merkle_chunks_1024,1,1000000,15.5772,64196591.53,966b0e755c8997cf
ksentry_triangular,2,1000000,5.9007,169470413.43,915923055
rolling_hash_affine,2,1000000,4.3404,230392291.26,400094257
blake3_batch,2,1000000,15.7154,63632013.52,9b199f8213b08f49
hmac_sha256_batch,2,1000000,7.3123,136755914.49,5f39a6b97ac7e5de
merkle_chunks_1024,2,1000000,15.6044,64084452.03,966b0e755c8997cf
ksentry_triangular,3,1000000,5.8684,170403676.08,915923055
rolling_hash_affine,3,1000000,4.3646,229116437.66,400094257
blake3_batch,3,1000000,15.7211,63608582.30,9b199f8213b08f49
hmac_sha256_batch,3,1000000,7.3428,136187663.33,5f39a6b97ac7e5de
merkle_chunks_1024,3,1000000,15.5603,64266158.55,966b0e755c8997cf
ksentry_triangular,4,1000000,5.8884,169826053.97,915923055
rolling_hash_affine,4,1000000,4.4417,225140696.05,400094257
blake3_batch,4,1000000,15.7523,63482809.11,9b199f8213b08f49
hmac_sha256_batch,4,1000000,7.2660,137627267.37,5f39a6b97ac7e5de
merkle_chunks_1024,4,1000000,15.6123,64051975.36,966b0e755c8997cf
ksentry_triangular,5,1000000,5.8803,170059871.28,915923055
rolling_hash_affine,5,1000000,4.3401,230408588.16,400094257
blake3_batch,5,1000000,15.7847,63352667.51,9b199f8213b08f49
hmac_sha256_batch,5,1000000,7.3943,135239342.53,5f39a6b97ac7e5de
merkle_chunks_1024,5,1000000,15.8509,63088095.40,966b0e755c8997cf
ksentry_triangular,6,1000000,5.7984,172460625.08,915923055
rolling_hash_affine,6,1000000,4.3384,230499032.71,400094257
blake3_batch,6,1000000,15.5843,64166998.46,9b199f8213b08f49
hmac_sha256_batch,6,1000000,7.2184,138534222.04,5f39a6b97ac7e5de
merkle_chunks_1024,6,1000000,15.4465,64739522.15,966b0e755c8997cf
ksentry_triangular,7,1000000,5.8474,171015593.20,915923055
rolling_hash_affine,7,1000000,4.3112,231954787.37,400094257
blake3_batch,7,1000000,15.6008,64099375.57,9b199f8213b08f49
hmac_sha256_batch,7,1000000,7.2346,138223916.66,5f39a6b97ac7e5de
merkle_chunks_1024,7,1000000,15.5046,64497062.87,966b0e755c8997cf
ksentry_triangular,8,1000000,5.8220,171763520.11,915923055
rolling_hash_affine,8,1000000,4.3258,231171166.30,400094257
blake3_batch,8,1000000,15.5796,64186487.94,9b199f8213b08f49
hmac_sha256_batch,8,1000000,7.2072,138749830.73,5f39a6b97ac7e5de
merkle_chunks_1024,8,1000000,15.4337,64793377.81,966b0e755c8997cf
ksentry_triangular,9,1000000,5.8092,172140090.36,915923055
rolling_hash_affine,9,1000000,4.2979,232672040.62,400094257
blake3_batch,9,1000000,15.5446,64331075.51,9b199f8213b08f49
hmac_sha256_batch,9,1000000,7.2565,137808109.65,5f39a6b97ac7e5de
merkle_chunks_1024,9,1000000,15.4958,64533540.60,966b0e755c8997cf
ksentry_triangular,10,1000000,5.7899,172714673.98,915923055
rolling_hash_affine,10,1000000,4.2958,232784319.28,400094257
blake3_batch,10,1000000,15.5331,64378724.07,9b199f8213b08f49
hmac_sha256_batch,10,1000000,7.2208,138488522.42,5f39a6b97ac7e5de
merkle_chunks_1024,10,1000000,15.4562,64698813.44,966b0e755c8997cf
